age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
20.0,6.33,1.99,6.64,7.34,103.0,100.0,Low,66.16
16.0,7.36,2.43,0.48,6.13,158.0,91.62,Medium,3.36
31.0,6.77,5.91,1.36,8.94,250.0,85.8,High,3.05
19.0,5.89,2.27,6.37,4.77,31.0,100.0,Medium,79.59
39.0,10.87,7.88,0.01,6.38,292.0,64.19,High,0.0
20.0,10.94,3.73,2.26,7.24,109.0,99.4,Medium,36.07
26.0,5.36,1.96,4.67,4.28,44.0,100.0,Low,50.75
37.0,8.15,4.93,4.76,7.58,45.0,100.0,Medium,57.12
35.0,11.27,6.52,6.22,4.5,172.0,100.0,High,21.39
24.0,11.62,10.12,4.05,4.7,79.0,80.43,High,0.0
36.0,7.09,6.15,4.08,4.8,79.0,96.6,High,15.12
35.0,6.53,5.01,5.8,8.64,190.0,100.0,High,57.49
39.0,4.79,,3.99,7.42,95.0,100.0,Medium,35.58
20.0,11.59,6.64,4.87,7.28,295.0,90.69,High,5.43
22.0,3.43,1.76,7.18,6.78,227.0,100.0,Low,81.9
16.0,7.8,6.77,3.21,5.46,174.0,84.74,High,0.0
26.0,4.83,3.2,3.08,7.1,199.0,100.0,Medium,23.52
27.0,4.79,3.1,0.03,6.05,101.0,100.0,Medium,11.98
39.0,6.05,2.66,4.91,4.73,29.0,100.0,Medium,42.37
35.0,11.99,3.93,0.24,7.45,,89.72,Medium,6.11
21.0,2.55,2.21,4.03,,197.0,100.0,Medium,37.02
24.0,7.79,3.8,6.43,4.95,276.0,100.0,Medium,58.19
27.0,2.83,1.6,4.4,8.09,23.0,100.0,Low,58.98
31.0,3.55,1.31,2.16,7.3,234.0,100.0,Low,24.55
35.0,6.4,5.13,6.29,7.15,49.0,100.0,High,61.53
28.0,7.1,2.25,2.16,6.09,84.0,100.0,Medium,40.06
16.0,4.59,3.67,5.86,5.98,143.0,100.0,Medium,58.0
36.0,5.16,1.98,4.88,7.45,172.0,100.0,Low,
25.0,2.87,2.39,1.36,7.7,59.0,100.0,Medium,37.97
15.0,5.03,3.71,7.24,6.55,45.0,100.0,Medium,79.8
33.0,,4.65,1.61,8.85,292.0,100.0,Medium,2.97
35.0,11.45,7.32,7.92,8.78,178.0,100.0,High,63.69
18.0,5.35,2.61,0.06,6.06,208.0,95.56,Medium,5.21
33.0,7.71,3.14,2.11,8.1,283.0,100.0,Medium,29.04
35.0,11.1,9.05,1.6,6.72,88.0,84.0,High,0.0
,2.06,1.12,0.11,6.56,20.0,100.0,Low,32.57
22.0,10.11,5.45,5.86,4.27,98.0,100.0,High,27.98
25.0,11.48,4.61,5.55,6.87,247.0,97.81,Medium,39.08
,2.91,1.54,6.34,8.5,65.0,100.0,Low,
31.0,3.61,2.97,2.05,7.9,127.0,100.0,Medium,30.25
21.0,11.61,6.01,3.55,7.93,143.0,100.0,High,8.42
22.0,7.38,6.43,5.27,4.8,167.0,90.47,High,35.54
17.0,2.14,1.86,3.52,5.79,271.0,100.0,Low,43.42
36.0,4.58,1.77,5.58,5.17,21.0,100.0,Low,66.66
16.0,6.5,2.64,5.07,5.58,241.0,100.0,Medium,49.94
37.0,8.93,7.3,0.92,6.9,208.0,78.37,High,0.0
29.0,9.33,,6.25,5.82,90.0,100.0,High,49.87
38.0,11.95,3.62,5.77,6.8,116.0,100.0,Medium,70.67
36.0,4.88,2.27,5.25,6.19,251.0,100.0,Medium,73.57
36.0,7.38,4.86,1.24,5.43,49.0,96.01,Medium,0.0
19.0,7.33,5.71,2.14,4.48,49.0,90.3,High,3.41
38.0,6.06,2.3,3.15,8.46,234.0,100.0,,54.65
15.0,3.69,1.35,2.24,4.06,192.0,95.83,Low,33.03
18.0,11.77,10.04,1.82,4.01,299.0,50.25,High,0.0
29.0,10.53,7.9,6.44,8.13,230.0,100.0,,43.47
34.0,6.98,4.56,5.11,8.98,144.0,100.0,Medium,59.37
33.0,8.03,6.11,4.52,7.64,99.0,100.0,High,25.2
17.0,4.27,2.38,1.81,4.08,203.0,100.0,Medium,16.4
34.0,7.44,5.62,7.34,5.13,34.0,100.0,High,42.61
25.0,8.95,4.68,1.53,8.86,,100.0,Medium,25.87
31.0,7.15,3.19,6.36,8.04,108.0,100.0,Medium,78.23
27.0,11.9,8.78,7.73,6.83,22.0,99.41,High,26.23
25.0,8.11,4.48,5.82,5.18,43.0,,Medium,42.28
16.0,5.71,5.08,7.94,4.07,108.0,100.0,High,48.46
23.0,9.72,4.95,5.21,4.1,28.0,97.89,Medium,39.19
16.0,3.7,3.16,1.74,7.06,65.0,100.0,Medium,22.53
35.0,5.85,5.03,1.63,4.11,113.0,86.77,High,0.0
23.0,5.47,2.43,2.6,8.97,90.0,100.0,Medium,53.17
23.0,6.32,4.92,0.06,4.92,207.0,82.32,Medium,0.0
22.0,9.82,5.5,5.45,7.55,158.0,100.0,High,
,6.84,5.82,2.15,4.78,29.0,99.57,High,0.0
15.0,9.94,5.67,6.52,6.7,,100.0,High,58.56
39.0,7.76,5.79,2.87,4.4,38.0,94.71,High,2.11
25.0,5.42,3.14,3.84,7.83,149.0,100.0,Medium,46.23
22.0,10.1,4.41,7.73,6.92,240.0,100.0,Medium,56.84
24.0,4.38,1.84,1.94,4.43,149.0,100.0,Low,10.14
39.0,4.24,2.35,5.77,8.24,132.0,100.0,Medium,100.0
21.0,7.05,5.31,6.04,6.74,157.0,100.0,High,35.38
17.0,4.61,3.06,1.77,8.61,62.0,100.0,Medium,13.34
17.0,2.09,1.49,4.01,8.58,237.0,100.0,Low,60.12
32.0,8.48,3.98,2.8,8.6,77.0,100.0,Medium,34.95
19.0,7.11,4.19,6.18,4.39,132.0,100.0,Medium,37.1
26.0,6.46,2.11,4.98,4.6,207.0,100.0,Medium,41.49
26.0,11.67,9.23,3.81,8.94,141.0,95.18,High,3.54
33.0,7.71,6.89,6.23,6.44,104.0,100.0,High,39.9
20.0,10.63,5.78,1.88,5.19,125.0,86.35,High,0.0
16.0,3.39,1.04,6.03,7.85,118.0,100.0,Low,83.73
26.0,7.69,3.09,6.92,5.32,28.0,100.0,Medium,70.22
33.0,10.68,7.39,7.03,7.64,25.0,100.0,High,46.24
19.0,7.83,5.22,6.27,8.19,127.0,100.0,High,51.21
26.0,9.18,7.09,3.26,7.92,171.0,99.25,High,0.1
31.0,5.72,2.59,7.85,5.37,256.0,100.0,Medium,94.25
31.0,2.92,2.21,3.04,6.01,46.0,100.0,Medium,18.02
24.0,6.58,4.69,,6.07,138.0,100.0,Medium,50.04
39.0,5.94,2.93,1.29,6.46,230.0,87.29,Medium,3.43
37.0,10.67,6.69,7.84,4.84,119.0,100.0,High,47.91
31.0,4.44,1.72,5.63,6.26,22.0,100.0,Low,73.96
29.0,11.67,6.67,6.03,6.55,36.0,100.0,High,28.22
26.0,11.58,9.6,0.53,6.66,125.0,69.65,High,0.0
30.0,4.48,2.48,6.11,8.1,249.0,100.0,Medium,70.32
38.0,5.48,4.4,6.2,6.59,196.0,100.0,Medium,54.15
33.0,10.96,7.17,5.37,5.15,103.0,98.12,High,31.82
22.0,11.67,4.84,2.34,7.32,282.0,93.02,Medium,27.05
35.0,6.43,4.17,3.92,7.99,215.0,100.0,Medium,31.67
31.0,5.21,3.14,0.88,5.6,268.0,81.39,Medium,7.1
37.0,7.26,3.91,3.77,7.23,168.0,100.0,Medium,47.72
19.0,8.88,3.3,1.95,4.73,225.0,96.21,Medium,5.67
36.0,4.73,2.6,2.79,5.71,100.0,100.0,Medium,38.65
30.0,9.36,3.22,1.3,8.55,208.0,100.0,Medium,47.55
20.0,2.52,0.91,1.84,8.56,225.0,100.0,Low,35.77
22.0,2.49,1.37,0.61,6.88,288.0,91.82,Low,25.69
39.0,5.86,2.83,7.36,7.51,274.0,100.0,Medium,70.21
32.0,5.53,4.73,4.24,8.27,27.0,,Medium,38.85
39.0,5.16,2.71,3.17,8.79,133.0,100.0,Medium,45.22
26.0,6.91,5.22,4.28,6.45,24.0,100.0,High,37.0
29.0,5.21,3.22,5.03,6.81,,100.0,Medium,76.09
23.0,3.92,2.83,7.38,6.08,140.0,100.0,Medium,71.39
27.0,5.09,2.32,1.43,4.36,253.0,100.0,Medium,20.04
29.0,11.75,10.17,2.36,6.11,85.0,68.61,High,0.0
24.0,6.11,3.78,7.81,7.95,249.0,100.0,Medium,75.75
30.0,6.45,5.15,2.97,8.02,50.0,100.0,High,
21.0,7.77,,0.18,8.46,70.0,98.39,Medium,19.33
31.0,11.83,4.26,1.18,,166.0,85.69,Medium,0.0
37.0,4.42,3.11,0.21,6.64,114.0,96.47,Medium,0.94
35.0,8.81,2.68,,4.54,57.0,100.0,Medium,83.44
36.0,9.16,5.36,2.23,5.0,217.0,92.9,High,0.0
21.0,8.07,3.35,7.39,8.5,260.0,100.0,Medium,
28.0,2.89,1.95,7.97,6.48,192.0,100.0,Low,86.73
29.0,8.77,7.78,4.8,7.79,275.0,89.09,High,14.68
35.0,2.64,1.53,0.27,4.32,60.0,96.05,Low,4.43
,7.96,6.29,0.65,6.08,148.0,87.12,High,0.0
23.0,9.4,5.68,3.85,7.37,73.0,100.0,High,43.24
33.0,4.11,2.46,3.25,4.67,105.0,100.0,Medium,41.23
30.0,10.42,8.94,4.85,5.63,231.0,86.06,High,0.0
22.0,2.3,1.92,3.51,4.32,288.0,96.28,Low,25.31
32.0,10.44,8.05,7.47,7.26,40.0,100.0,High,
37.0,6.6,3.15,4.28,8.85,234.0,100.0,Medium,59.51
32.0,4.18,2.62,5.55,,208.0,100.0,Medium,
34.0,3.34,1.45,7.17,8.87,180.0,100.0,Low,100.0
21.0,11.53,6.53,1.17,8.23,220.0,90.41,High,0.0
17.0,2.73,1.61,1.84,8.28,48.0,100.0,Low,46.82
32.0,3.99,3.19,0.86,6.89,263.0,96.34,Medium,18.26
24.0,5.48,4.59,1.12,6.59,202.0,90.93,Medium,6.38
21.0,,4.5,4.1,6.03,51.0,100.0,Medium,42.16
31.0,7.45,2.31,2.57,8.09,286.0,100.0,Medium,57.42
28.0,3.26,2.66,3.39,4.91,55.0,100.0,Medium,41.36
38.0,4.9,1.98,7.86,4.28,112.0,100.0,Low,100.0
17.0,4.39,2.96,1.25,8.74,178.0,99.81,Medium,39.12
26.0,,1.3,4.33,4.02,199.0,100.0,Low,44.57
27.0,6.11,3.3,0.79,8.88,,94.78,Medium,3.65
16.0,9.04,8.06,2.55,7.64,246.0,79.36,High,3.88
17.0,4.17,1.5,4.22,5.64,231.0,,Low,38.55
19.0,5.67,3.14,7.57,7.49,182.0,100.0,Medium,84.12
25.0,5.91,2.86,3.13,8.09,177.0,100.0,Medium,50.78
22.0,11.76,,0.52,5.23,129.0,66.82,High,0.0
37.0,11.55,9.49,3.11,7.85,74.0,73.91,High,0.0
37.0,10.0,4.43,1.17,8.02,233.0,100.0,Medium,0.0
26.0,4.42,1.54,1.84,5.25,34.0,100.0,Low,51.96
21.0,2.68,1.81,4.94,4.21,172.0,100.0,,58.15
29.0,5.17,2.59,0.54,5.02,39.0,100.0,Medium,1.37
38.0,4.67,3.28,3.72,5.0,71.0,100.0,Medium,18.43
31.0,7.06,2.25,4.88,4.33,103.0,100.0,Medium,40.64
18.0,9.78,3.72,3.37,7.63,243.0,98.16,Medium,28.52
36.0,10.58,7.53,0.15,5.9,148.0,72.66,High,0.0
39.0,10.45,4.47,7.88,8.42,35.0,100.0,Medium,92.01
27.0,5.6,4.56,2.94,5.26,293.0,,Medium,0.0
32.0,,2.97,6.23,6.27,96.0,100.0,Medium,77.88
15.0,5.13,2.2,2.61,7.2,111.0,100.0,Medium,23.1
,2.61,2.35,3.8,8.39,289.0,100.0,Medium,51.73
27.0,9.02,5.05,3.11,6.62,71.0,96.76,High,14.71
24.0,2.1,1.52,2.74,5.87,140.0,100.0,Low,50.34
26.0,6.09,2.49,0.17,8.34,69.0,100.0,Medium,35.81
16.0,5.29,3.52,2.88,,292.0,100.0,Medium,27.72
37.0,8.93,6.57,7.12,4.4,139.0,100.0,High,40.9
17.0,9.66,4.72,5.52,6.23,114.0,100.0,Medium,42.48
24.0,5.04,4.02,1.16,7.93,168.0,100.0,Medium,27.46
16.0,10.12,6.7,4.73,4.15,276.0,82.85,High,0.0
37.0,4.94,2.64,7.14,6.93,203.0,100.0,Medium,83.31
27.0,6.46,4.1,5.6,6.97,279.0,,Medium,60.53
27.0,9.27,5.99,1.19,8.64,169.0,94.3,High,11.27
32.0,8.93,3.57,6.94,5.43,224.0,100.0,Medium,66.56
17.0,11.87,,2.41,5.39,191.0,83.73,High,0.0
21.0,4.25,2.15,3.63,6.2,241.0,100.0,Medium,51.79
28.0,8.62,4.66,4.21,5.78,187.0,99.12,Medium,26.78
34.0,,6.13,6.8,7.68,263.0,100.0,High,63.74
31.0,11.15,6.57,7.45,7.21,237.0,100.0,High,71.45
35.0,3.56,3.08,7.44,7.79,75.0,100.0,Medium,67.97
26.0,9.52,4.53,0.06,8.1,82.0,100.0,Medium,0.0
39.0,7.68,4.22,7.38,8.61,122.0,100.0,Medium,68.27
30.0,4.75,3.67,0.44,6.15,186.0,96.26,Medium,0.0
38.0,6.74,4.23,2.13,8.92,26.0,100.0,Medium,32.52
26.0,5.34,3.35,4.12,5.08,161.0,100.0,Medium,39.68
29.0,7.79,2.59,3.84,7.57,144.0,100.0,Medium,49.56
39.0,10.89,5.87,4.84,6.67,109.0,100.0,High,37.88
24.0,7.69,3.56,3.84,8.08,235.0,100.0,Medium,35.9
39.0,8.32,7.48,7.48,6.38,142.0,100.0,High,38.55
21.0,7.19,3.49,1.92,7.92,205.0,99.81,,31.19
34.0,2.51,2.09,2.19,8.65,172.0,100.0,Medium,39.96
19.0,,3.06,7.37,7.66,268.0,,Medium,66.59
15.0,6.92,3.49,0.61,7.88,133.0,99.6,Medium,35.91
31.0,5.1,3.19,4.88,4.34,,98.74,Medium,50.91
17.0,3.82,3.07,5.45,5.02,217.0,100.0,Medium,50.16
27.0,7.04,5.84,4.04,8.87,22.0,100.0,High,46.29
28.0,5.23,2.07,5.55,7.47,168.0,100.0,Medium,75.42
38.0,4.58,2.31,1.38,6.81,130.0,100.0,Medium,9.59
32.0,6.64,3.33,6.82,5.83,39.0,100.0,Medium,71.07
18.0,3.33,1.08,1.12,4.22,222.0,100.0,Low,9.77
32.0,11.28,7.43,3.21,5.85,201.0,90.02,High,0.0
19.0,10.68,,0.6,6.49,246.0,65.99,High,0.0
39.0,9.08,4.8,4.36,5.06,95.0,,Medium,37.17
30.0,3.06,2.28,5.36,4.87,242.0,100.0,Medium,42.59
15.0,9.76,6.6,7.53,6.54,55.0,100.0,High,44.06
35.0,10.08,5.3,5.91,6.93,109.0,100.0,High,43.34
28.0,9.68,3.72,4.33,5.2,48.0,100.0,Medium,52.74
29.0,3.14,2.28,7.46,6.94,195.0,100.0,Medium,81.58
23.0,8.44,6.86,3.83,8.5,239.0,99.79,High,24.1
29.0,10.34,7.36,4.49,6.37,155.0,82.46,High,12.66
31.0,7.77,2.41,4.77,8.29,194.0,100.0,Medium,60.1
39.0,8.46,3.64,3.28,8.64,145.0,100.0,Medium,43.87
38.0,6.58,2.25,6.71,4.46,190.0,100.0,Medium,73.62
18.0,7.29,4.68,1.48,4.48,285.0,82.38,Medium,0.0
26.0,2.34,1.76,4.44,6.38,153.0,100.0,Low,45.54
19.0,8.39,3.07,5.78,6.94,,100.0,Medium,62.56
19.0,2.81,2.26,7.23,6.13,45.0,100.0,Medium,99.83
25.0,6.35,4.02,7.07,5.63,,100.0,Medium,60.86
20.0,4.93,3.52,4.07,7.2,119.0,100.0,Medium,56.28
21.0,7.45,6.58,5.15,4.01,49.0,93.56,High,34.84
38.0,3.33,1.17,3.15,8.84,152.0,100.0,Low,63.42
28.0,8.92,7.5,3.75,,158.0,86.74,,0.0
38.0,9.95,3.74,7.25,8.59,210.0,100.0,Medium,83.53
25.0,3.63,1.94,7.45,4.55,206.0,100.0,Low,88.42
27.0,3.04,2.47,7.16,5.19,159.0,100.0,Medium,71.43
16.0,3.46,2.92,1.11,5.17,256.0,93.67,Medium,0.0
39.0,10.77,6.5,6.8,8.98,219.0,100.0,High,57.93
21.0,7.28,4.78,7.59,4.02,99.0,100.0,Medium,64.07
34.0,6.67,,2.89,7.2,278.0,95.43,Medium,21.84
18.0,3.07,2.45,4.15,8.35,120.0,100.0,Medium,64.44
22.0,8.5,3.17,6.23,7.36,51.0,100.0,Medium,71.82
34.0,10.68,,4.5,5.81,296.0,67.13,High,0.0
36.0,10.28,6.05,7.95,8.79,140.0,100.0,High,83.56
35.0,8.26,4.71,3.65,8.47,74.0,100.0,Medium,21.11
33.0,2.75,1.52,5.71,6.17,37.0,100.0,Low,75.6
27.0,3.12,1.89,6.34,6.87,140.0,100.0,Low,68.61
28.0,2.49,2.16,3.95,8.84,129.0,100.0,Medium,62.22
24.0,4.57,2.87,6.86,8.91,,100.0,Medium,
25.0,3.36,2.93,4.37,6.25,283.0,100.0,Medium,48.08
16.0,4.6,1.88,3.29,8.24,287.0,100.0,Low,51.87
39.0,5.85,4.3,0.86,5.51,146.0,84.5,Medium,11.28
23.0,11.43,9.0,3.15,5.86,156.0,86.81,High,0.0
31.0,8.1,5.73,5.87,4.82,97.0,100.0,High,23.44
17.0,10.35,6.87,7.37,5.05,226.0,100.0,High,
38.0,9.1,5.81,2.01,7.28,203.0,99.99,High,7.3
20.0,3.13,2.56,2.84,6.55,108.0,100.0,Medium,27.83
19.0,9.36,7.42,1.23,5.16,248.0,71.82,High,0.0
19.0,4.75,1.77,5.53,6.01,83.0,100.0,Low,63.12
36.0,8.39,6.79,,5.87,74.0,100.0,High,58.96
29.0,5.41,2.97,5.13,8.94,298.0,100.0,Medium,50.68
37.0,11.98,5.42,4.94,8.27,207.0,100.0,High,39.93
31.0,4.64,3.81,4.43,5.94,210.0,100.0,Medium,41.52
23.0,4.79,2.68,0.71,8.57,292.0,100.0,Medium,9.08
17.0,11.31,8.88,5.84,5.71,114.0,87.49,High,17.72
34.0,2.25,1.03,4.82,7.34,109.0,100.0,Low,83.72
31.0,8.97,2.71,,8.83,266.0,100.0,Medium,65.35
24.0,9.25,5.52,7.19,5.95,94.0,100.0,High,58.6
17.0,10.36,3.73,6.27,7.4,81.0,100.0,Medium,59.48
32.0,11.74,8.84,6.25,5.48,241.0,80.27,High,40.56
32.0,11.76,5.48,7.42,5.33,286.0,100.0,High,48.49
31.0,2.65,1.5,7.92,6.87,140.0,100.0,Low,100.0
38.0,10.22,3.6,4.65,8.9,47.0,100.0,Medium,58.11
17.0,8.46,3.99,0.87,6.27,293.0,94.1,Medium,0.0
17.0,,6.51,3.67,8.69,42.0,100.0,High,36.45
20.0,3.28,1.28,6.3,8.57,118.0,100.0,Low,68.0
27.0,8.5,5.85,0.22,5.27,129.0,87.31,High,0.0
38.0,11.82,10.05,,6.01,222.0,57.54,High,0.0
29.0,11.12,7.87,0.54,7.22,125.0,84.16,High,0.0
,6.39,5.03,5.85,6.59,65.0,100.0,High,57.71
,2.4,0.88,4.01,4.48,276.0,100.0,Low,42.0
,5.62,2.53,2.95,8.97,163.0,100.0,Medium,32.5
28.0,10.26,8.58,0.84,7.76,44.0,80.93,High,0.0
19.0,9.01,6.57,5.86,6.19,81.0,100.0,High,31.88
16.0,6.59,4.51,2.57,7.09,249.0,99.22,Medium,6.78
25.0,2.55,1.78,2.12,4.44,101.0,100.0,Low,33.99
23.0,6.27,3.44,5.22,6.48,230.0,100.0,Medium,53.75
38.0,6.69,2.19,4.47,8.65,216.0,100.0,Medium,54.09
17.0,11.29,8.7,2.9,8.48,217.0,87.81,High,0.0
23.0,8.41,5.95,5.13,5.69,181.0,98.39,High,30.27
17.0,5.12,2.99,2.17,6.66,227.0,100.0,Medium,14.71
39.0,7.25,6.09,6.36,7.49,63.0,100.0,High,40.85
16.0,2.66,1.33,1.83,5.7,298.0,100.0,Low,26.13
26.0,11.73,5.59,1.27,4.32,294.0,81.28,High,
24.0,5.6,4.61,6.26,6.53,240.0,100.0,Medium,56.2
23.0,6.78,5.28,5.66,7.01,165.0,,High,55.03
29.0,5.55,3.38,1.46,4.03,88.0,98.67,Medium,0.43
22.0,8.83,3.34,0.93,4.48,159.0,94.47,Medium,6.09
39.0,8.62,3.7,6.71,5.04,29.0,100.0,Medium,60.09
19.0,9.15,6.35,6.21,5.74,130.0,100.0,High,47.87
25.0,4.68,2.49,2.62,6.71,56.0,100.0,,29.67
16.0,,4.14,5.27,5.47,100.0,100.0,Medium,
38.0,3.25,2.83,0.99,5.38,115.0,100.0,Medium,2.44
29.0,8.56,6.71,4.06,8.35,74.0,100.0,High,17.38
20.0,2.4,1.26,0.15,4.73,151.0,100.0,Low,5.98
22.0,7.98,6.17,3.13,6.48,242.0,90.81,High,0.0
19.0,10.7,5.47,0.6,8.76,82.0,95.68,High,13.45
30.0,10.91,4.37,,7.13,31.0,100.0,Medium,29.03
32.0,6.49,2.08,3.37,7.59,165.0,100.0,Medium,45.45
20.0,6.59,3.5,3.56,6.16,283.0,100.0,Medium,20.24
19.0,2.77,2.33,0.36,4.1,51.0,100.0,Medium,13.43
30.0,8.71,3.86,2.89,7.23,68.0,100.0,Medium,34.8
27.0,10.21,4.33,6.05,7.16,206.0,100.0,Medium,60.99
19.0,4.45,3.92,2.95,4.55,118.0,100.0,Medium,19.05
27.0,6.21,1.96,5.72,6.31,186.0,100.0,Low,69.17
31.0,10.39,8.02,2.96,,232.0,89.63,High,4.7
32.0,10.77,5.31,3.39,5.03,218.0,94.0,High,19.52
22.0,4.43,1.43,4.51,6.31,265.0,100.0,Low,45.79
27.0,7.51,6.39,7.61,6.31,173.0,100.0,High,45.63
33.0,3.92,1.5,0.87,8.05,115.0,100.0,Low,22.99
17.0,3.02,1.91,0.26,8.12,82.0,100.0,Low,31.46
38.0,11.11,5.16,4.86,7.8,213.0,100.0,High,44.34
22.0,10.21,3.46,7.59,5.83,291.0,100.0,Medium,75.82
16.0,9.6,3.17,7.92,4.36,109.0,100.0,Medium,
22.0,2.49,0.92,3.87,5.75,291.0,100.0,Low,47.03
27.0,10.44,3.58,3.74,7.4,104.0,100.0,Medium,18.84
27.0,6.38,4.83,5.16,7.51,55.0,100.0,Medium,68.37
15.0,,3.21,4.45,8.83,37.0,100.0,,63.13
20.0,7.46,,5.07,6.27,96.0,100.0,Medium,40.84
38.0,2.91,1.6,6.99,7.16,68.0,100.0,Low,89.64
33.0,9.57,8.21,5.97,6.7,255.0,87.45,High,19.69
30.0,7.82,6.62,3.98,4.75,63.0,96.15,High,28.47
22.0,3.87,2.82,,6.31,128.0,100.0,Medium,40.13
15.0,3.88,3.22,5.12,6.72,148.0,100.0,Medium,56.46
30.0,3.84,1.89,3.65,8.75,26.0,100.0,Low,58.42
23.0,2.57,1.36,3.66,5.83,131.0,100.0,Low,72.03
27.0,7.88,5.27,0.13,8.9,232.0,87.09,High,12.4
25.0,10.4,7.01,1.39,6.71,85.0,81.94,High,0.0
27.0,2.17,1.28,3.91,,50.0,100.0,Low,61.95
39.0,2.49,1.35,6.58,4.96,284.0,100.0,Low,75.76
35.0,7.73,6.89,2.23,4.71,33.0,82.18,High,0.0
24.0,10.19,8.08,4.18,6.26,77.0,100.0,High,0.0
18.0,5.27,2.96,2.76,4.11,261.0,94.87,Medium,0.0
20.0,5.5,4.05,0.84,6.23,267.0,86.57,Medium,5.57
21.0,7.96,3.68,7.67,8.94,117.0,100.0,Medium,74.86
19.0,4.74,1.71,6.84,7.35,181.0,100.0,Low,89.14
25.0,2.27,1.16,0.63,7.8,266.0,100.0,Low,17.16
27.0,9.35,5.07,5.76,4.6,23.0,100.0,High,27.4
39.0,8.26,2.56,2.78,6.37,280.0,100.0,Medium,31.27
33.0,7.81,6.16,7.96,5.43,64.0,100.0,High,68.06
37.0,9.42,4.86,2.42,8.47,230.0,100.0,Medium,13.09
24.0,8.75,5.67,1.91,4.91,263.0,80.63,High,0.0
24.0,4.06,1.4,4.54,6.29,222.0,100.0,Low,60.02
25.0,5.52,2.24,6.68,6.94,222.0,100.0,Medium,76.13
35.0,3.26,2.72,1.54,6.57,46.0,100.0,Medium,28.21
21.0,3.3,2.2,5.68,8.15,137.0,100.0,Medium,76.0
32.0,8.76,7.62,0.49,5.16,245.0,77.21,High,0.0
18.0,10.59,9.52,,5.89,224.0,,High,33.12
16.0,11.63,6.08,0.65,7.96,266.0,89.16,High,0.0
28.0,8.28,3.97,7.31,6.64,68.0,100.0,Medium,70.37
27.0,3.84,3.13,3.93,6.01,272.0,100.0,Medium,26.16
26.0,3.06,2.75,3.58,4.15,97.0,100.0,Medium,27.99
21.0,10.13,6.87,7.79,7.77,276.0,100.0,High,62.25
16.0,7.79,6.05,7.92,8.86,139.0,100.0,High,
27.0,8.18,6.29,5.2,7.1,54.0,100.0,High,27.17
28.0,9.81,5.03,1.02,8.28,162.0,96.66,High,5.65
31.0,9.03,5.82,4.05,6.58,216.0,100.0,High,4.29
23.0,10.34,8.27,4.23,,279.0,78.08,High,0.0
31.0,2.56,1.82,4.12,4.07,103.0,100.0,Low,41.14
22.0,9.48,2.96,4.56,7.27,211.0,100.0,Medium,27.43
16.0,10.51,5.28,0.15,6.47,41.0,95.8,High,0.0
38.0,,1.88,5.69,7.91,43.0,100.0,Low,66.97
27.0,8.4,3.69,5.7,7.47,94.0,100.0,Medium,73.84
17.0,5.14,4.33,0.92,8.94,153.0,100.0,Medium,9.13
30.0,11.58,3.73,4.56,6.55,186.0,100.0,Medium,50.31
20.0,2.33,1.01,4.55,6.14,129.0,100.0,Low,68.11
33.0,7.8,3.79,5.46,5.43,109.0,100.0,Medium,40.27
21.0,3.67,2.46,0.68,6.38,56.0,99.77,Medium,20.86
24.0,,5.66,5.01,8.36,70.0,100.0,High,61.52
23.0,3.76,1.62,2.25,4.21,79.0,100.0,Low,28.72
16.0,4.35,1.73,4.06,8.89,91.0,100.0,Low,64.93
29.0,,3.07,6.19,8.97,147.0,100.0,Medium,81.59
19.0,11.15,6.71,5.65,6.99,81.0,100.0,High,40.18
36.0,4.12,1.91,0.95,5.66,198.0,100.0,Low,12.88
18.0,3.44,2.99,4.73,5.12,47.0,100.0,Medium,18.53
34.0,9.59,5.55,7.75,5.38,259.0,100.0,High,43.32
18.0,7.01,2.35,1.25,4.25,251.0,91.39,Medium,0.0
32.0,11.12,8.2,6.82,6.38,172.0,94.75,High,29.11
18.0,3.47,1.73,5.62,4.29,26.0,100.0,Low,74.79
31.0,8.46,5.86,6.19,7.59,84.0,100.0,High,55.33
26.0,4.33,2.03,2.26,5.86,142.0,100.0,Medium,26.42
36.0,3.57,2.29,2.3,5.0,55.0,100.0,Medium,30.65
31.0,8.83,6.74,7.25,6.72,257.0,100.0,High,44.27
24.0,7.94,6.8,2.88,8.87,92.0,97.85,High,21.2
36.0,9.55,4.36,0.5,7.48,49.0,100.0,Medium,11.81
15.0,5.09,2.55,4.8,6.46,246.0,100.0,Medium,65.54
36.0,6.48,3.75,1.0,7.88,24.0,100.0,Medium,17.29
38.0,6.05,5.18,6.37,7.69,84.0,100.0,High,40.21
32.0,11.84,9.96,5.13,8.46,254.0,83.72,High,0.0
32.0,4.92,1.74,7.0,5.02,134.0,100.0,Low,77.33
28.0,4.95,1.88,6.28,8.29,265.0,100.0,Low,78.57
29.0,5.55,3.32,0.9,5.51,36.0,100.0,Medium,16.13
26.0,7.65,2.78,3.05,8.7,56.0,100.0,Medium,60.45
18.0,4.52,2.29,6.2,5.41,238.0,100.0,Medium,63.95
17.0,11.15,4.34,3.34,8.63,156.0,100.0,Medium,24.65
34.0,4.66,3.18,7.78,8.82,265.0,100.0,Medium,94.13
26.0,10.96,9.53,5.89,4.73,57.0,77.9,High,7.39
